Date Accessed,User Agent - Simple,User Agent - Full,IP Address,Number of Logins,Last Date Accessed
Thu Feb 07 2019 21:36:34 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",71.195.19.50,1,Thu Feb 07 2019 21:36:34 GMT-0600 (CST)
Thu Feb 07 2019 14:38:24 GMT-0600 (CST),Slack Web App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.3 Safari/605.1.15",71.195.19.50,4,Thu Feb 07 2019 14:38:40 GMT-0600 (CST)
Thu Feb 07 2019 13:23:32 GMT-0600 (CST),iOS App (iPad),"com.tinyspeck.chatlyio/3.61 (iPad; iOS 12.1.3; Scale/2.00)",71.195.19.50,11,Thu Feb 07 2019 22:57:44 GMT-0600 (CST)
Thu Feb 07 2019 11:34:48 GMT-0600 (CST),Slack Web App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.3 Safari/605.1.15",71.195.19.50,3,Thu Feb 07 2019 11:34:49 GMT-0600 (CST)
Thu Feb 07 2019 11:02:34 GMT-0600 (CST),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.3.7 Chrome/66.0.3359.181 Electron/3.1.0-beta.5 Safari/537.36 Slack_SSB/3.3.7",71.195.19.50,17,Thu Feb 07 2019 22:30:58 GMT-0600 (CST)
Thu Feb 07 2019 09:58:44 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",107.77.210.189,22,Fri Feb 08 2019 00:23:37 GMT-0600 (CST)
Thu Feb 07 2019 08:20:25 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",71.195.19.50,4,Thu Feb 07 2019 09:42:24 GMT-0600 (CST)
Thu Feb 07 2019 07:56:59 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",107.77.210.189,1,Thu Feb 07 2019 07:56:59 GMT-0600 (CST)
Thu Feb 07 2019 03:07:49 GMT-0600 (CST),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.3.7 Chrome/66.0.3359.181 Electron/3.1.0-beta.5 Safari/537.36 Slack_SSB/3.3.7",71.195.19.50,5,Thu Feb 07 2019 08:42:06 GMT-0600 (CST)
Wed Feb 06 2019 15:46:17 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",107.77.210.189,14,Thu Feb 07 2019 01:08:23 GMT-0600 (CST)
Wed Feb 06 2019 14:46:32 GMT-0600 (CST),Slack Web App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.3 Safari/605.1.15",71.195.19.50,6,Wed Feb 06 2019 14:47:08 GMT-0600 (CST)
Wed Feb 06 2019 13:29:39 GMT-0600 (CST),iOS App (iPad),"com.tinyspeck.chatlyio/3.61 (iPad; iOS 12.1.3; Scale/2.00)",71.195.19.50,13,Wed Feb 06 2019 22:42:32 GMT-0600 (CST)
Wed Feb 06 2019 10:36:31 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",107.77.210.189,1,Wed Feb 06 2019 10:36:31 GMT-0600 (CST)
Wed Feb 06 2019 07:53:45 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",71.195.19.50,15,Wed Feb 06 2019 14:56:15 GMT-0600 (CST)
Wed Feb 06 2019 02:50:24 GMT-0600 (CST),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.3.7 Chrome/66.0.3359.181 Electron/3.1.0-beta.5 Safari/537.36 Slack_SSB/3.3.7",71.195.19.50,34,Thu Feb 07 2019 01:30:14 GMT-0600 (CST)
Tue Feb 05 2019 18:57:13 GMT-0600 (CST),Slack Web App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.3 Safari/605.1.15",71.195.19.50,13,Tue Feb 05 2019 22:19:38 GMT-0600 (CST)
Tue Feb 05 2019 17:40:17 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",107.77.210.189,2,Tue Feb 05 2019 18:42:55 GMT-0600 (CST)
Tue Feb 05 2019 13:24:24 GMT-0600 (CST),iOS App (iPad),"com.tinyspeck.chatlyio/3.61 (iPad; iOS 12.1.3; Scale/2.00)",71.195.19.50,15,Tue Feb 05 2019 22:57:08 GMT-0600 (CST)
Tue Feb 05 2019 07:56:42 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",71.195.19.50,25,Wed Feb 06 2019 01:17:50 GMT-0600 (CST)
Tue Feb 05 2019 02:24:38 GMT-0600 (CST),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.3.7 Chrome/66.0.3359.181 Electron/3.1.0-beta.5 Safari/537.36 Slack_SSB/3.3.7",71.195.19.50,23,Wed Feb 06 2019 01:23:54 GMT-0600 (CST)
Mon Feb 04 2019 23:01:30 GMT-0600 (CST),Slack Web App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.3 Safari/605.1.15",71.195.19.50,19,Tue Feb 05 2019 14:51:03 GMT-0600 (CST)
Mon Feb 04 2019 22:27:08 GMT-0600 (CST),Unknown Client,"Mozilla/5.0 (iPad; CPU OS 12_1_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",71.195.19.50,5,Mon Feb 04 2019 22:31:43 GMT-0600 (CST)
Mon Feb 04 2019 13:48:09 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",71.195.19.50,13,Tue Feb 05 2019 00:48:09 GMT-0600 (CST)
Mon Feb 04 2019 13:32:32 GMT-0600 (CST),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.3.7 Chrome/66.0.3359.181 Electron/3.1.0-beta.5 Safari/537.36 Slack_SSB/3.3.7",71.195.19.50,10,Tue Feb 05 2019 00:18:48 GMT-0600 (CST)
Mon Feb 04 2019 13:29:24 GMT-0600 (CST),iOS App (iPad),"com.tinyspeck.chatlyio/3.61 (iPad; iOS 12.1.3; Scale/2.00)",71.195.19.50,16,Mon Feb 04 2019 22:49:46 GMT-0600 (CST)
Mon Feb 04 2019 12:46:10 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",107.77.210.189,2,Mon Feb 04 2019 13:15:23 GMT-0600 (CST)
Mon Feb 04 2019 12:10:09 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",107.77.207.25,1,Mon Feb 04 2019 12:10:09 GMT-0600 (CST)
Mon Feb 04 2019 07:56:31 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",71.195.19.50,9,Mon Feb 04 2019 11:04:12 GMT-0600 (CST)
Sun Feb 03 2019 22:04:16 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",71.195.19.50,6,Mon Feb 04 2019 01:13:36 GMT-0600 (CST)
Sun Feb 03 2019 17:06:27 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",24.118.21.68,18,Sun Feb 03 2019 21:15:09 GMT-0600 (CST)
Sun Feb 03 2019 16:05:41 GMT-0600 (CST),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.3.7 Chrome/66.0.3359.181 Electron/3.1.0-beta.5 Safari/537.36 Slack_SSB/3.3.7",71.195.19.50,15,Mon Feb 04 2019 11:21:34 GMT-0600 (CST)
Sun Feb 03 2019 13:28:21 GMT-0600 (CST),iOS App (iPad),"com.tinyspeck.chatlyio/3.61 (iPad; iOS 12.1.3; Scale/2.00)",71.195.19.50,10,Sun Feb 03 2019 22:54:36 GMT-0600 (CST)
Sun Feb 03 2019 07:58:22 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",71.195.19.50,22,Sun Feb 03 2019 16:23:22 GMT-0600 (CST)
Sat Feb 02 2019 22:44:24 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",71.195.19.50,4,Sun Feb 03 2019 01:15:48 GMT-0600 (CST)
Sat Feb 02 2019 19:37:08 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",107.77.207.39,6,Sat Feb 02 2019 21:58:56 GMT-0600 (CST)
Sat Feb 02 2019 17:36:18 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",107.77.207.217,6,Sat Feb 02 2019 19:36:43 GMT-0600 (CST)
Sat Feb 02 2019 15:47:16 GMT-0600 (CST),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.3.7 Chrome/66.0.3359.181 Electron/3.1.0-beta.5 Safari/537.36 Slack_SSB/3.3.7",71.195.19.50,18,Sun Feb 03 2019 14:31:28 GMT-0600 (CST)
Sat Feb 02 2019 13:23:01 GMT-0600 (CST),iOS App (iPad),"com.tinyspeck.chatlyio/3.61 (iPad; iOS 12.1.3; Scale/2.00)",71.195.19.50,9,Sat Feb 02 2019 22:53:58 GMT-0600 (CST)
Sat Feb 02 2019 11:30:22 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",71.195.19.50,8,Sat Feb 02 2019 17:02:08 GMT-0600 (CST)
Sat Feb 02 2019 11:29:54 GMT-0600 (CST),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.3.7 Chrome/66.0.3359.181 Electron/3.1.0-beta.5 Safari/537.36 Slack_SSB/3.3.7",71.195.19.50,3,Sat Feb 02 2019 13:44:05 GMT-0600 (CST)
Sat Feb 02 2019 09:47:07 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",107.77.207.217,2,Sat Feb 02 2019 10:53:14 GMT-0600 (CST)
Sat Feb 02 2019 07:55:06 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",71.195.19.50,3,Sat Feb 02 2019 08:57:08 GMT-0600 (CST)
Sat Feb 02 2019 01:34:42 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",71.195.19.50,3,Sat Feb 02 2019 01:41:47 GMT-0600 (CST)
Fri Feb 01 2019 19:46:14 GMT-0600 (CST),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.3.7 Chrome/66.0.3359.181 Electron/3.1.0-beta.5 Safari/537.36 Slack_SSB/3.3.7",71.195.19.50,11,Sat Feb 02 2019 09:18:32 GMT-0600 (CST)
Fri Feb 01 2019 18:22:53 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",107.77.207.217,9,Fri Feb 01 2019 23:56:55 GMT-0600 (CST)
Fri Feb 01 2019 16:29:13 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",71.195.19.50,2,Fri Feb 01 2019 17:34:43 GMT-0600 (CST)
Fri Feb 01 2019 15:59:31 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",107.77.207.217,1,Fri Feb 01 2019 15:59:31 GMT-0600 (CST)
Fri Feb 01 2019 15:30:19 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",107.77.208.67,1,Fri Feb 01 2019 15:30:19 GMT-0600 (CST)
Fri Feb 01 2019 15:03:21 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",73.94.205.109,2,Fri Feb 01 2019 15:05:27 GMT-0600 (CST)
Fri Feb 01 2019 13:23:12 GMT-0600 (CST),iOS App (iPad),"com.tinyspeck.chatlyio/3.61 (iPad; iOS 12.1.3; Scale/2.00)",71.195.19.50,8,Fri Feb 01 2019 22:08:04 GMT-0600 (CST)
Fri Feb 01 2019 11:18:04 GMT-0600 (CST),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.3.7 Chrome/66.0.3359.181 Electron/3.1.0-beta.5 Safari/537.36 Slack_SSB/3.3.7",71.195.19.50,9,Fri Feb 01 2019 17:32:29 GMT-0600 (CST)
Fri Feb 01 2019 10:36:56 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",107.77.208.165,8,Fri Feb 01 2019 15:16:57 GMT-0600 (CST)
Fri Feb 01 2019 08:00:36 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",71.195.19.50,6,Fri Feb 01 2019 10:12:39 GMT-0600 (CST)
Thu Jan 31 2019 17:56:01 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",71.195.19.50,10,Fri Feb 01 2019 00:37:18 GMT-0600 (CST)
Thu Jan 31 2019 16:20:58 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",24.118.21.68,4,Thu Jan 31 2019 17:22:51 GMT-0600 (CST)
Thu Jan 31 2019 16:01:07 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",107.77.208.165,2,Thu Jan 31 2019 17:40:36 GMT-0600 (CST)
Thu Jan 31 2019 13:23:55 GMT-0600 (CST),iOS App (iPad),"com.tinyspeck.chatlyio/3.61 (iPad; iOS 12.1.3; Scale/2.00)",71.195.19.50,15,Thu Jan 31 2019 22:56:35 GMT-0600 (CST)
Thu Jan 31 2019 11:01:14 GMT-0600 (CST),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.3.7 Chrome/66.0.3359.181 Electron/3.1.0-beta.5 Safari/537.36 Slack_SSB/3.3.7",71.195.19.50,21,Fri Feb 01 2019 09:59:09 GMT-0600 (CST)
Thu Jan 31 2019 10:21:41 GMT-0600 (CST),iOS App (iPad),"com.tinyspeck.chatlyio/3.60 (iPad; iOS 12.1.1; Scale/2.00)",71.195.19.50,2,Thu Jan 31 2019 10:21:43 GMT-0600 (CST)
Thu Jan 31 2019 10:17:56 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",107.77.208.165,1,Thu Jan 31 2019 10:17:56 GMT-0600 (CST)
Thu Jan 31 2019 09:14:23 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.61 (iPhone; iOS 12.1.3; Scale/3.00)",71.195.19.50,11,Thu Jan 31 2019 15:53:11 GMT-0600 (CST)
Thu Jan 31 2019 08:49:01 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.60 (iPhone; iOS 12.1.3; Scale/3.00)",107.77.208.165,1,Thu Jan 31 2019 08:49:01 GMT-0600 (CST)
Thu Jan 31 2019 07:56:24 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.60 (iPhone; iOS 12.1.3; Scale/3.00)",71.195.19.50,4,Thu Jan 31 2019 09:03:39 GMT-0600 (CST)
Wed Jan 30 2019 15:23:38 GMT-0600 (CST),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.3.7 Chrome/66.0.3359.181 Electron/3.1.0-beta.5 Safari/537.36 Slack_SSB/3.3.7",71.195.19.50,7,Wed Jan 30 2019 22:55:23 GMT-0600 (CST)
Wed Jan 30 2019 13:33:06 GMT-0600 (CST),iOS App (iPad),"com.tinyspeck.chatlyio/3.60 (iPad; iOS 12.1.1; Scale/2.00)",71.195.19.50,19,Wed Jan 30 2019 23:01:15 GMT-0600 (CST)
Wed Jan 30 2019 08:01:37 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.60 (iPhone; iOS 12.1.3; Scale/3.00)",71.195.19.50,24,Thu Jan 31 2019 00:34:06 GMT-0600 (CST)
Tue Jan 29 2019 19:57:00 GMT-0600 (CST),iOS App (iPad),"com.tinyspeck.chatlyio/3.60 (iPad; iOS 12.1.1; Scale/2.00)",71.195.19.50,12,Tue Jan 29 2019 22:58:50 GMT-0600 (CST)
Tue Jan 29 2019 17:42:25 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.60 (iPhone; iOS 12.1.3; Scale/3.00)",107.77.208.165,1,Tue Jan 29 2019 17:42:25 GMT-0600 (CST)
Tue Jan 29 2019 14:39:22 GMT-0600 (CST),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.3.7 Chrome/66.0.3359.181 Electron/3.1.0-beta.5 Safari/537.36 Slack_SSB/3.3.7",71.195.19.50,21,Wed Jan 30 2019 14:20:47 GMT-0600 (CST)
Tue Jan 29 2019 14:38:17 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.60 (iPhone; iOS 12.1.3; Scale/3.00)",71.195.19.50,13,Tue Jan 29 2019 23:51:59 GMT-0600 (CST)
Tue Jan 29 2019 13:43:40 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.60 (iPhone; iOS 12.1.3; Scale/3.00)",107.77.208.165,1,Tue Jan 29 2019 13:43:40 GMT-0600 (CST)
Tue Jan 29 2019 13:27:17 GMT-0600 (CST),iOS App (iPad),"com.tinyspeck.chatlyio/3.60 (iPad; iOS 12.1.1; Scale/2.00)",71.195.19.50,6,Tue Jan 29 2019 17:44:01 GMT-0600 (CST)
Tue Jan 29 2019 12:27:32 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.60 (iPhone; iOS 12.1.3; Scale/3.00)",97.116.183.239,1,Tue Jan 29 2019 12:27:32 GMT-0600 (CST)
Tue Jan 29 2019 11:54:52 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.60 (iPhone; iOS 12.1.3; Scale/3.00)",107.77.206.21,2,Tue Jan 29 2019 12:58:39 GMT-0600 (CST)
Tue Jan 29 2019 11:04:47 GMT-0600 (CST),iOS App (iPad),"com.tinyspeck.chatlyio/3.60 (iPad; iOS 12.1.1; Scale/2.00)",71.195.19.50,2,Tue Jan 29 2019 11:04:51 GMT-0600 (CST)
Tue Jan 29 2019 07:59:34 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.60 (iPhone; iOS 12.1.3; Scale/3.00)",71.195.19.50,10,Tue Jan 29 2019 11:25:19 GMT-0600 (CST)
Tue Jan 29 2019 01:17:07 GMT-0600 (CST),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.3.7 Chrome/66.0.3359.181 Electron/3.1.0-beta.5 Safari/537.36 Slack_SSB/3.3.7",71.195.19.50,8,Tue Jan 29 2019 10:44:27 GMT-0600 (CST)
Mon Jan 28 2019 19:34:30 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.60 (iPhone; iOS 12.1.3; Scale/3.00)",71.195.19.50,8,Mon Jan 28 2019 23:50:48 GMT-0600 (CST)
Mon Jan 28 2019 19:24:35 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.60 (iPhone; iOS 12.1.3; Scale/3.00)",107.77.206.21,1,Mon Jan 28 2019 19:24:35 GMT-0600 (CST)
Mon Jan 28 2019 16:32:04 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.60 (iPhone; iOS 12.1.3; Scale/3.00)",24.118.21.68,10,Mon Jan 28 2019 18:47:42 GMT-0600 (CST)
Mon Jan 28 2019 13:28:50 GMT-0600 (CST),iOS App (iPad),"com.tinyspeck.chatlyio/3.60 (iPad; iOS 12.1.1; Scale/2.00)",71.195.19.50,8,Mon Jan 28 2019 22:09:31 GMT-0600 (CST)
Mon Jan 28 2019 13:14:56 GMT-0600 (CST),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.3.7 Chrome/66.0.3359.181 Electron/3.1.0-beta.5 Safari/537.36 Slack_SSB/3.3.7",71.195.19.50,10,Mon Jan 28 2019 23:08:39 GMT-0600 (CST)
Mon Jan 28 2019 12:24:42 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.60 (iPhone; iOS 12.1.3; Scale/3.00)",107.77.206.21,7,Mon Jan 28 2019 16:10:43 GMT-0600 (CST)
Mon Jan 28 2019 07:53:09 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.60 (iPhone; iOS 12.1.3; Scale/3.00)",71.195.19.50,5,Mon Jan 28 2019 11:26:19 GMT-0600 (CST)
Sun Jan 27 2019 20:07:15 GMT-0600 (CST),iOS App (iPad),"com.tinyspeck.chatlyio/3.60 (iPad; iOS 12.1.1; Scale/2.00)",71.195.19.50,8,Sun Jan 27 2019 22:55:36 GMT-0600 (CST)
Sun Jan 27 2019 16:32:46 GMT-0600 (CST),iOS App (iPad),"com.tinyspeck.chatlyio/3.60 (iPad; iOS 12.1.1; Scale/2.00)",71.195.19.50,7,Sun Jan 27 2019 17:49:46 GMT-0600 (CST)
Sun Jan 27 2019 15:09:56 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.60 (iPhone; iOS 12.1.3; Scale/3.00)",107.77.210.116,1,Sun Jan 27 2019 15:09:56 GMT-0600 (CST)
Sun Jan 27 2019 13:04:47 GMT-0600 (CST),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.3.7 Chrome/66.0.3359.181 Electron/3.1.0-beta.5 Safari/537.36 Slack_SSB/3.3.7",71.195.19.50,23,Mon Jan 28 2019 12:09:33 GMT-0600 (CST)
Sun Jan 27 2019 10:05:41 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.60 (iPhone; iOS 12.1.3; Scale/3.00)",71.195.19.50,14,Sun Jan 27 2019 23:49:48 GMT-0600 (CST)
Sun Jan 27 2019 09:05:40 GMT-0600 (CST),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.3.6 Chrome/61.0.3163.100 Electron/2.0.7 Safari/537.36 Slack_SSB/3.3.6",71.195.19.50,4,Sun Jan 27 2019 12:47:51 GMT-0600 (CST)
Sun Jan 27 2019 08:00:09 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.60 (iPhone; iOS 12.1.2; Scale/3.00)",71.195.19.50,6,Sun Jan 27 2019 09:52:58 GMT-0600 (CST)
Sat Jan 26 2019 21:43:27 GMT-0600 (CST),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.3.6 Chrome/61.0.3163.100 Electron/2.0.7 Safari/537.36 Slack_SSB/3.3.6",71.195.19.50,7,Sun Jan 27 2019 07:02:51 GMT-0600 (CST)
Sat Jan 26 2019 12:27:44 GMT-0600 (CST),iOS App (iPad),"com.tinyspeck.chatlyio/3.60 (iPad; iOS 12.1.1; Scale/2.00)",71.195.19.50,20,Sat Jan 26 2019 21:20:34 GMT-0600 (CST)
Sat Jan 26 2019 11:34:11 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.60 (iPhone; iOS 12.1.2; Scale/3.00)",71.195.19.50,16,Sun Jan 27 2019 00:18:53 GMT-0600 (CST)
Sat Jan 26 2019 09:50:27 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.60 (iPhone; iOS 12.1.2; Scale/3.00)",107.77.210.140,2,Sat Jan 26 2019 10:52:46 GMT-0600 (CST)
Sat Jan 26 2019 07:54:41 GMT-0600 (CST),iOS App (iPhone),"com.tinyspeck.chatlyio/3.60 (iPhone; iOS 12.1.2; Scale/3.00)",71.195.19.50,3,Sat Jan 26 2019 08:54:52 GMT-0600 (CST)
Sat Jan 26 2019 00:36:26 GMT-0600 (CST),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.3.6 Chrome/61.0.3163.100 Electron/2.0.7 Safari/537.36 Slack_SSB/3.3.6",71.195.19.50,15,Sat Jan 26 2019 19:30:23 GMT-0600 (CST)
Fri Jan 25 2019 22:33:07 GMT-0600 (CST),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) AtomShell/3.3.6 Chrome/61.0.3163.100 Electron/2.0.7 Safari/537.36 Slack_SSB/3.3.6",71.195.19.50,3,Fri Jan 25 2019 22:33:08 GMT-0600 (CST)
